Family,ES500.05
Acanthochitonidae,20.17
Acoetidae,25.03
Acrocirridae,20.78
Acteonidae,15.78
Actiniidae,9.34
Akeridae,16.97
Alpheidae,23.23
Ammotheidae,10.01
Ampeliscidae,7.21
Ampharetidae,7.76
Amphilochidae,22.44
Amphinomidae,21.72
Amphiuridae,2.87
Ampithoidae,14.23
Anomiidae,10.02
Anthuridae,12.96
Aoridae,6.16
Aphroditidae,23.95
Aplysiidae,6.05
Aporrhaidae,14.51
Apseudidae,8.87
Arcidae,13.65
Arcturidae,10.96
Aristiidae,25.03
Ascidiidae,9.99
Aspidosiphonidae,12.13
Astartidae,4.09
Asterinidae,22.68
Astropectinidae,24.04
Atylidae,10.97
Balanidae,9.58
Bodotriidae,9.47
Branchiostomidae,10.77
Brissidae,21.85
Bullidae,4.09
Caecidae,6.34
Callianassidae,18.41
Calliopiidae,20.47
Calyptraeidae,6.34
Capitellidae,2.59
Caprellidae,10.82
Capulidae,26.68
Cardiidae,3.76
Carditidae,23.93
Centropagidae,21.38
Cerianthidae,8.79
Cerithiidae,5.60
Chaetodermatidae,14.89
Chaetopteridae,13.78
Chalinidae,20.94
Cheirocratidae,13.26
Chitonidae,20.53
Chrysopetalidae,22.40
Cirolanidae,16.59
Cirratulidae,7.04
Colomastigidae,20.75
Corbulidae,4.84
Cornulariidae,23.80
Corophiidae,4.60
Cossuridae,17.57
Crangonidae,4.89
Cryptosulidae,12.03
Ctenodrilidae,20.13
Cucumariidae,21.83
Cuspidariidae,20.78
Cylichnidae,8.33
Dentaliidae,16.56
Dexaminidae,6.43
Diadematidae,17.56
Diastylidae,22.35
Diogenidae,5.30
Donacidae,7.63
Dorvilleidae,6.07
Echinocyamidae,14.12
Edwardsiidae,14.23
Epialtidae,11.17
Ethusidae,20.54
Eulimidae,22.43
Eunicidae,16.21
Euphrosinidae,26.70
Eusiridae,21.24
Fasciolariidae,18.89
Fauveliopsidae,19.29
Fissurellidae,28.12
Flabelligeridae,16.43
Fustiariidae,14.01
Galatheidae,22.09
Gammaridae,4.86
Gastrochaenidae,24.71
Glyceridae,12.66
Glycymerididae,17.35
Gnathiidae,10.02
Golfingiidae,14.18
Goneplacidae,13.47
Goniadidae,18.38
Grapsidae,10.87
Haliotidae,19.41
Haloclavidae,11.29
Haminoeidae,4.18
Hesionidae,13.45
Heterospionidae,21.73
Hiatellidae,18.34
Hippolytidae,22.09
Holognathidae,11.12
Holothuriidae,7.69
Hormathiidae,13.78
Hyalidae,21.38
Hydrobiidae,5.37
Idoteidae,10.62
Inachidae,20.78
Iphimediidae,26.28
Iravadiidae,10.49
Ischyroceridae,8.92
Janiridae,21.23
Kelliidae,15.76
Lacydoniidae,10.76
Lasaeidae,4.15
Leptocheliidae,10.51
Leuconidae,23.83
Leucosiidae,14.77
Leucothoidae,14.96
Liljeborgiidae,20.52
Limidae,21.85
Limnoriidae,11.14
Loveniidae,11.23
Lucinidae,7.64
Lumbrineridae,13.37
Lysianassidae,22.61
Mactridae,5.28
Maeridae,10.03
Magelonidae,17.62
Majidae,23.89
Maldanidae,13.94
Megaluropidae,4.17
Melitidae,11.01
Melphidippidae,27.47
Microprotopidae,5.49
Molgulidae,9.30
Montacutidae,12.53
Munnidae,11.14
Muricidae,12.12
Myidae,21.92
Mysidae,12.54
Mytilidae,2.13
Nannastacidae,2.99
Nassariidae,4.93
Naticidae,18.44
Nebaliidae,7.34
Nephtyidae,3.59
Nereididae,4.03
Neritidae,11.23
Noetiidae,9.99
Notoplanidae,7.70
Nuculanidae,13.55
Nuculidae,11.41
Oedicerotidae,12.14
Oenonidae,17.32
Onuphidae,20.11
Opheliidae,7.24
Ophiothrichidae,19.41
Ophiuridae,14.23
Orbiniidae,9.98
Ostreidae,28.24
Oweniidae,10.02
Pachastrellidae,25.04
Paguridae,12.40
Palaemonidae,4.99
Pandoridae,13.55
Paralacydoniidae,21.36
Paraonidae,12.64
Paratanaoidea,13.55
Pardaliscidae,23.83
Parechinidae,19.41
Pectinariidae,3.98
Pectinidae,17.57
Pharidae,8.21
Phascolionidae,13.37
Phascolosomatidae,21.73
Phasianellidae,10.69
Philinidae,17.55
Phliantidae,17.00
Phloeodictyidae,12.00
Pholoidae,11.55
Photidae,14.17
Phoxocephalidae,19.51
Phyllodocidae,8.29
Pilargidae,13.09
Pilumnidae,22.17
Pinnidae,17.98
Pinnotheridae,22.63
Pirimelidae,12.97
Pisionidae,18.11
Poecilochaetidae,15.89
Polygordiidae,13.21
Polynoidae,13.47
Pontoporeiidae,15.15
Porcellanidae,19.04
Portunidae,5.23
Potamididae,1.00
Processidae,11.41
Propeamussiidae,24.04
Protodrilidae,8.30
Psammobiidae,21.25
Pseudocumatidae,4.17
Ptychoderidae,26.00
Pyramidellidae,11.48
Pyuridae,19.41
Retusidae,4.17
Rhizoridae,4.16
Rissoidae,6.58
Sabellariidae,23.70
Sabellidae,10.01
Sagartiidae,4.52
Sagittidae,19.36
Scalibregmatidae,24.05
Scaphandridae,23.90
Schizasteridae,9.78
Schizoporellidae,31.11
Scissurellidae,21.02
Sclerodactylidae,24.20
Scopelocheiridae,20.77
Scutellidae,20.35
Semelidae,4.82
Serpulidae,3.19
Sicyoniidae,17.54
Sigalionidae,9.83
Sipunculidae,13.42
Solecurtidae,15.73
Solemyidae,12.52
Sphaerodoridae,9.34
Sphaeromatidae,13.43
Spionidae,4.63
Stenothoidae,22.89
Sternaspidae,10.65
Styelidae,25.16
Suberitidae,18.57
Sycettidae,26.47
Syllidae,11.22
Synaptidae,4.18
Tanaidae,5.70
Tellinidae,10.77
Terebellidae,5.09
Thraciidae,11.20
Thyasiridae,10.53
Tonicellidae,8.28
Trichobranchidae,2.65
Trigonocidaridae,10.00
Trochidae,10.93
Tubulanidae,15.28
Tubulariidae,4.56
Turridae,22.83
Turritellidae,13.56
Turtoniidae,18.35
Ungulinidae,23.69
Upogebiidae,6.05
Urothoidae,22.44
Varunidae,7.35
Veneridae,1.91
Volvatellidae,13.43
Xanthidae,11.18
